Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,234.380005,239.639999,228.990005,239.630005,239.630005,1045500
2022-01-04,238.300003,240.585007,209.154999,220.940002,220.940002,2627200
2022-01-05,217.690002,218.190002,197.490005,198.000000,198.000000,2962600
2022-01-06,196.630005,202.690002,184.380005,191.380005,191.380005,4489200
2022-01-07,188.729996,195.979996,184.580002,184.710007,184.710007,3044500
2022-01-10,180.000000,183.759995,171.809998,183.440002,183.440002,4592700
2022-01-11,179.440002,193.229996,178.500000,186.199997,186.199997,2333600
2022-01-12,184.759995,186.000000,173.285004,177.529999,177.529999,4508100
2022-01-13,179.990005,180.574997,161.250000,163.000000,163.000000,3925800
2022-01-14,160.610001,165.500000,147.669998,156.389999,156.389999,7179100
2022-01-18,152.119995,169.889999,148.220001,162.089996,162.089996,4970500
2022-01-19,163.229996,168.539993,153.020004,157.130005,157.130005,4010200
2022-01-20,158.050003,175.399994,157.270004,157.990005,157.990005,4877700
2022-01-21,153.669998,155.479996,133.880005,135.649994,135.649994,5721100
2022-01-24,132.000000,160.729996,130.250000,157.899994,157.899994,7551200
2022-01-25,153.000000,159.949997,139.649994,146.529999,146.529999,5543000
2022-01-26,153.169998,155.000000,137.750000,140.949997,140.949997,4193900
2022-01-27,142.610001,144.830002,133.419998,141.679993,141.679993,3811900
2022-01-28,144.729996,151.789993,134.692001,145.990005,145.990005,2968100
2022-01-31,146.419998,163.149994,146.029999,162.059998,162.059998,3480900
2022-02-01,164.020004,166.509995,153.639999,164.779999,164.779999,3150900
2022-02-02,164.250000,167.000000,153.550003,158.399994,158.399994,2345400
2022-02-03,152.949997,155.559998,143.750000,146.940002,146.940002,2559500
2022-02-04,150.039993,156.889999,144.490005,150.309998,150.309998,2426900
2022-02-07,148.690002,158.970993,143.759995,146.330002,146.330002,2031400
2022-02-08,143.619995,154.300003,142.669998,153.130005,153.130005,2119900
2022-02-09,156.660004,162.889999,152.190002,162.690002,162.690002,1760800
2022-02-10,156.000000,163.179993,152.550003,154.539993,154.539993,3101000
2022-02-11,154.940002,159.020004,137.850006,141.350006,141.350006,3084700
2022-02-14,140.020004,146.729996,137.300003,140.630005,140.630005,3443100
2022-02-15,143.339996,147.399994,137.110001,142.500000,142.500000,2373200
2022-02-16,141.000000,141.289993,133.029999,138.619995,138.619995,2394600
2022-02-17,137.350006,145.770004,132.559998,135.229996,135.229996,2812500
2022-02-18,135.410004,137.759995,125.250000,126.400002,126.400002,2846500
2022-02-22,125.019997,128.750000,116.930000,119.250000,119.250000,3139000
2022-02-23,119.260002,123.470001,113.285004,113.650002,113.650002,3348200
2022-02-24,107.639999,127.669998,107.500000,126.050003,126.050003,6576500
2022-02-25,135.020004,156.679993,121.190002,152.570007,152.570007,11458100
2022-02-28,149.199997,155.919998,145.500000,150.470001,150.470001,4589600
2022-03-01,148.729996,149.789993,135.320007,145.059998,145.059998,3880300
2022-03-02,142.889999,145.000000,134.649994,138.610001,138.610001,3061500
2022-03-03,142.929993,144.130005,122.285004,123.330002,123.330002,4767000
2022-03-04,123.269997,123.500000,102.190002,103.839996,103.839996,9892900
2022-03-07,106.879997,110.739998,99.709999,104.940002,104.940002,6718500
2022-03-08,105.870003,115.320000,97.696999,105.199997,105.199997,5317200
2022-03-09,115.000000,122.849998,113.010002,116.550003,116.550003,4108000
2022-03-10,114.000000,114.949997,106.800003,113.480003,113.480003,2902700
2022-03-11,114.989998,118.239998,110.150002,113.790001,113.790001,3621000
2022-03-14,111.470001,121.180000,104.529999,105.480003,105.480003,5162700
2022-03-15,106.449997,122.300003,104.029999,120.440002,120.440002,4916000
2022-03-16,123.519997,130.779999,120.910004,129.449997,129.449997,5923100
2022-03-17,126.410004,135.850006,124.559998,134.860001,134.860001,4988800
2022-03-18,133.809998,146.250000,132.940002,142.429993,142.429993,5783500
2022-03-21,140.029999,144.000000,133.500000,136.309998,136.309998,4037100
2022-03-22,134.809998,143.979996,128.990005,141.279999,141.279999,4170900
2022-03-23,138.369995,150.839996,132.220001,141.190002,141.190002,3588100
2022-03-24,140.770004,149.070007,133.529999,148.649994,148.649994,2845800
2022-03-25,149.169998,149.690002,125.800003,128.520004,128.520004,5359800
2022-03-28,127.000000,129.860001,119.610001,129.860001,129.860001,4058300
2022-03-29,134.750000,140.119995,129.660004,138.690002,138.690002,3520900
2022-03-30,134.289993,138.645004,125.269997,125.980003,125.980003,3251200
2022-03-31,126.110001,126.550003,118.449997,119.290001,119.290001,2664000
2022-04-01,119.870003,123.349998,116.720001,119.459999,119.459999,2588500
2022-04-04,119.320000,134.679993,119.320000,132.960007,132.960007,4209300
2022-04-05,126.269997,129.429993,118.231003,121.459999,121.459999,4345100
2022-04-06,117.010002,117.110001,107.029999,113.730003,113.730003,4791000
2022-04-07,111.760002,116.148003,106.099998,111.230003,111.230003,4097300
2022-04-08,110.120003,113.940002,106.129997,107.309998,107.309998,3233800
2022-04-11,105.000000,114.239998,102.559998,106.010002,106.010002,3666800
2022-04-12,106.639999,111.680000,98.500000,100.779999,100.779999,4698000
2022-04-13,99.730003,107.169998,97.050003,105.089996,105.089996,3266200
2022-04-14,105.639999,105.860001,98.120003,101.529999,101.529999,3128100
2022-04-18,99.820000,100.400002,93.989998,96.550003,96.550003,3223100
2022-04-19,95.760002,103.419998,94.848999,101.769997,101.769997,2855900
2022-04-20,100.839996,101.790001,92.150002,92.500000,92.500000,10103200
2022-04-21,86.010002,95.000000,79.279999,83.139999,83.139999,17302000
2022-04-22,88.410004,91.400002,82.250000,83.750000,83.750000,18516500
2022-04-25,80.989998,82.570000,75.339996,81.209999,81.209999,13634900
2022-04-26,81.190002,81.959999,70.180000,70.489998,70.489998,11545100
2022-04-27,71.720001,79.000000,63.360001,65.739998,65.739998,21794500
2022-04-28,66.529999,68.360001,58.230000,64.370003,64.370003,16401900
2022-04-29,65.000000,68.959999,57.404999,57.959999,57.959999,10951300
2022-05-02,57.419998,60.943001,55.279999,60.470001,60.470001,8982900
2022-05-03,58.009998,59.680000,54.900002,57.330002,57.330002,9700900
2022-05-04,54.639999,59.849998,52.368999,59.650002,59.650002,10408300
2022-05-05,56.799999,56.994999,47.450001,48.919998,48.919998,11436900
2022-05-06,48.020000,48.150002,40.759998,46.480000,46.480000,13184800
2022-05-09,46.349998,46.900002,38.419998,38.770000,38.770000,14869300
2022-05-10,41.285000,42.020000,35.080002,36.680000,36.680000,15723800
2022-05-11,35.730000,38.639999,29.129999,30.000000,30.000000,22941800
2022-05-12,29.410000,45.299999,28.350000,37.400002,37.400002,41704100
2022-05-13,40.209999,45.450001,36.709999,38.310001,38.310001,25571000
2022-05-16,42.480000,46.349998,37.900002,38.400002,38.400002,27920200
2022-05-17,39.770000,41.740002,37.169998,41.599998,41.599998,13131900
2022-05-18,40.189999,40.257999,34.520000,35.049999,35.049999,10480900
2022-05-19,35.060001,36.380001,31.799999,32.880001,32.880001,13666500
2022-05-20,33.590000,33.689999,30.450001,33.570000,33.570000,10341200
2022-05-23,32.810001,33.209999,28.750000,30.240000,30.240000,11191100
2022-05-24,29.629999,29.760000,25.690001,26.650000,26.650000,11874000
2022-05-25,26.500000,31.600000,26.440001,30.959999,30.959999,18978700
2022-05-26,30.379999,32.990002,29.709999,31.090000,31.090000,8942000
2022-05-27,31.990000,34.400002,31.700001,33.849998,33.849998,8703900
2022-05-31,33.360001,34.290001,28.809999,29.440001,29.440001,9861400
2022-06-01,29.459999,30.049999,26.309999,26.490000,26.490000,10270700
2022-06-02,26.150000,30.639999,25.260000,30.080000,30.080000,11900900
2022-06-03,29.000000,29.420000,26.270000,26.520000,26.520000,9454800
2022-06-06,27.260000,27.260000,24.730000,24.879999,24.879999,10537000
2022-06-07,24.160000,25.450001,23.600000,25.410000,25.410000,11166900
2022-06-08,25.219999,27.240000,24.420000,25.200001,25.200001,8300200
2022-06-09,25.290001,25.430000,22.674999,23.129999,23.129999,10416700
2022-06-10,22.870001,23.740000,21.610001,22.010000,22.010000,10436100
2022-06-13,20.389999,21.450001,19.799999,21.030001,21.030001,12019500
2022-06-14,21.410000,22.330000,20.235001,20.920000,20.920000,7511500
2022-06-15,21.959999,25.420000,21.620001,24.430000,24.430000,18479600
2022-06-16,22.370001,23.690001,20.840000,21.400000,21.400000,10673900
2022-06-17,21.709999,24.440001,21.600000,24.270000,24.270000,12597200
2022-06-21,24.959999,27.420000,24.799999,24.910000,24.910000,11799300
2022-06-22,24.059999,26.790001,24.059999,25.139999,25.139999,7499300
2022-06-23,25.430000,28.809999,24.860001,28.639999,28.639999,11869900
2022-06-24,27.719999,31.559999,27.280001,31.520000,31.520000,15424000
2022-06-27,31.870001,32.369999,28.379999,30.340000,30.340000,8972700
2022-06-28,29.910000,30.700001,24.559999,24.740000,24.740000,12979900
2022-06-29,24.170000,24.559999,22.200001,23.110001,23.110001,12202800
2022-06-30,23.000000,24.340000,21.702000,22.580000,22.580000,12363400
2022-07-01,22.959999,23.670000,21.430000,21.870001,21.870001,12488700
2022-07-05,21.299999,27.850000,20.660000,27.580000,27.580000,19781200
2022-07-06,27.340000,28.389999,25.820000,26.299999,26.299999,12873400
2022-07-07,26.270000,26.940001,25.020000,26.780001,26.780001,11001500
2022-07-08,25.879999,28.490000,24.709999,25.090000,25.090000,12914200
2022-07-11,24.580000,24.580000,21.680000,22.090000,22.090000,12672800
2022-07-12,22.540001,22.900000,21.540001,22.070000,22.070000,7997300
2022-07-13,21.000000,22.469999,20.180000,20.969999,20.969999,12994600
2022-07-14,20.549999,20.809999,19.450001,20.230000,20.230000,10807500
2022-07-15,20.690001,21.760000,20.070000,21.250000,21.250000,10057900
2022-07-18,21.948999,23.590000,21.680000,22.250000,22.250000,10544100
2022-07-19,22.250000,22.870001,20.530001,22.850000,22.850000,11286400
2022-07-20,23.090000,27.549999,22.799999,27.379999,27.379999,18511500
2022-07-21,26.830000,28.930000,26.530001,28.209999,28.209999,11623900
2022-07-22,27.780001,28.900000,24.730000,25.379999,25.379999,10604600
