Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,3.730000,3.830000,3.730000,3.800000,3.800000,67100
2022-01-04,3.850000,3.910000,3.770000,3.820000,3.820000,601400
2022-01-05,3.800000,3.900000,3.760000,3.790000,3.790000,64900
2022-01-06,3.780000,3.820000,3.760000,3.800000,3.800000,52400
2022-01-07,3.820000,3.910000,3.820000,3.890000,3.890000,147400
2022-01-10,3.920000,3.930000,3.820000,3.880000,3.880000,56900
2022-01-11,3.920000,3.920000,3.800000,3.900000,3.900000,116300
2022-01-12,3.930000,3.960000,3.850000,3.860000,3.860000,189000
2022-01-13,3.920000,3.940000,3.860000,3.890000,3.890000,116300
2022-01-14,3.820000,3.980000,3.820000,3.960000,3.960000,169000
2022-01-18,3.990000,3.990000,3.830000,3.900000,3.900000,91400
2022-01-19,3.900000,3.970000,3.650000,3.700000,3.700000,178900
2022-01-20,3.510000,3.800000,3.160000,3.720000,3.720000,260100
2022-01-21,3.670000,3.850000,3.670000,3.810000,3.810000,384400
2022-01-24,3.720000,4.080000,3.720000,4.050000,4.050000,490200
2022-01-25,4.040000,4.220000,3.960000,4.200000,4.200000,308300
2022-01-26,4.250000,4.390000,4.210000,4.370000,4.370000,340400
2022-01-27,4.400000,4.420000,4.240000,4.310000,4.310000,427900
2022-01-28,4.350000,4.450000,4.310000,4.450000,4.450000,364000
2022-01-31,4.460000,4.480000,4.220000,4.300000,4.300000,201400
2022-02-01,4.480000,5.150000,4.460000,5.150000,5.150000,2440800
2022-02-02,5.100000,5.290000,5.060000,5.160000,5.160000,1817100
2022-02-03,5.150000,5.250000,5.110000,5.170000,5.170000,1265200
2022-02-04,5.140000,5.190000,5.000000,5.040000,5.040000,782800
2022-02-07,5.080000,5.090000,4.670000,4.690000,4.690000,580700
2022-02-08,4.600000,5.070000,4.600000,5.030000,5.030000,1192100
2022-02-09,5.010000,5.070000,4.940000,5.060000,5.060000,586100
2022-02-10,5.130000,5.170000,5.030000,5.150000,5.150000,951100
2022-02-11,5.150000,5.160000,5.050000,5.150000,5.150000,959700
2022-02-14,5.200000,5.330000,5.120000,5.210000,5.210000,496700
2022-02-15,5.280000,5.420000,5.270000,5.340000,5.340000,915000
2022-02-16,5.350000,5.460000,5.340000,5.430000,5.430000,474300
2022-02-17,5.430000,5.570000,5.360000,5.540000,5.540000,748200
2022-02-18,5.520000,5.670000,5.410000,5.460000,5.460000,795900
2022-02-22,5.450000,5.460000,5.260000,5.330000,5.330000,322900
2022-02-23,5.340000,5.400000,5.190000,5.200000,5.200000,228500
2022-02-24,5.050000,5.260000,5.000000,5.240000,5.240000,387400
2022-02-25,5.240000,5.340000,5.210000,5.310000,5.310000,355700
2022-02-28,5.310000,5.330000,5.170000,5.190000,5.190000,316700
2022-03-01,5.190000,5.230000,4.910000,5.030000,5.030000,399700
2022-03-02,5.090000,5.250000,5.050000,5.170000,5.170000,227500
2022-03-03,5.150000,5.240000,5.080000,5.190000,5.190000,196900
2022-03-04,5.150000,5.220000,4.990000,5.050000,5.050000,317000
2022-03-07,5.050000,5.270000,4.970000,5.160000,5.160000,447400
2022-03-08,5.160000,5.300000,5.070000,5.080000,5.080000,364200
2022-03-09,5.180000,5.260000,5.120000,5.210000,5.210000,215000
2022-03-10,5.190000,5.420000,5.160000,5.300000,5.300000,355000
2022-03-11,5.360000,5.400000,5.160000,5.190000,5.190000,870600
2022-03-14,5.070000,5.400000,5.000000,5.230000,5.230000,665400
2022-03-15,5.290000,5.300000,5.170000,5.260000,5.260000,313300
2022-03-16,5.320000,5.430000,5.200000,5.260000,5.260000,282400
2022-03-17,5.220000,5.240000,5.120000,5.200000,5.200000,331800
2022-03-18,5.160000,5.390000,5.010000,5.370000,5.370000,678300
2022-03-21,5.400000,5.400000,5.200000,5.260000,5.260000,380800
2022-03-22,5.300000,5.340000,5.240000,5.320000,5.320000,319600
2022-03-23,5.290000,5.380000,5.250000,5.340000,5.340000,156000
2022-03-24,5.370000,5.370000,5.250000,5.290000,5.290000,150300
2022-03-25,5.330000,5.500000,5.270000,5.380000,5.380000,473400
2022-03-28,5.440000,5.440000,5.040000,5.350000,5.350000,482200
2022-03-29,5.400000,5.480000,5.210000,5.210000,5.210000,341500
2022-03-30,5.180000,5.250000,4.970000,5.010000,5.010000,347900
2022-03-31,5.010000,5.230000,4.830000,5.160000,5.160000,1464000
2022-04-01,5.190000,5.200000,4.900000,4.910000,4.910000,317000
2022-04-04,4.890000,4.890000,4.640000,4.770000,4.770000,388800
2022-04-05,4.760000,4.850000,4.660000,4.670000,4.670000,212400
2022-04-06,4.620000,4.710000,4.580000,4.620000,4.620000,298600
2022-04-07,4.610000,4.610000,4.490000,4.500000,4.500000,234700
2022-04-08,4.550000,4.630000,4.500000,4.530000,4.530000,168000
2022-04-11,4.500000,4.650000,4.500000,4.540000,4.540000,177300
2022-04-12,4.520000,4.600000,4.490000,4.510000,4.510000,158500
2022-04-13,4.530000,4.700000,4.490000,4.670000,4.670000,371300
2022-04-14,4.680000,4.760000,4.630000,4.670000,4.670000,241900
2022-04-18,4.670000,4.820000,4.660000,4.750000,4.750000,176700
2022-04-19,4.760000,4.930000,4.730000,4.920000,4.920000,245800
2022-04-20,4.960000,5.010000,4.860000,4.960000,4.960000,334800
2022-04-21,4.960000,4.960000,4.810000,4.870000,4.870000,286400
2022-04-22,4.810000,4.860000,4.720000,4.800000,4.800000,155400
2022-04-25,4.770000,4.800000,4.660000,4.760000,4.760000,150900
2022-04-26,4.700000,4.750000,4.650000,4.660000,4.660000,199700
2022-04-27,4.650000,4.720000,4.620000,4.620000,4.620000,236300
2022-04-28,4.630000,4.670000,4.240000,4.250000,4.250000,505800
2022-04-29,4.230000,4.340000,4.130000,4.190000,4.190000,353400
2022-05-02,4.200000,4.250000,4.100000,4.170000,4.170000,157300
2022-05-03,4.150000,4.150000,4.020000,4.060000,4.060000,212800
2022-05-04,4.060000,4.100000,4.000000,4.090000,4.090000,239200
2022-05-05,4.090000,4.090000,3.910000,3.980000,3.980000,284500
2022-05-06,3.990000,4.150000,3.990000,4.050000,4.050000,251700
2022-05-09,4.060000,4.090000,3.840000,3.950000,3.950000,537200
2022-05-10,3.960000,4.000000,3.840000,3.900000,3.900000,476000
2022-05-11,3.920000,4.010000,3.870000,4.000000,4.000000,279600
2022-05-12,4.000000,4.160000,3.940000,4.040000,4.040000,558800
2022-05-13,4.060000,4.090000,3.980000,4.000000,4.000000,205700
2022-05-16,4.050000,4.090000,3.930000,3.990000,3.990000,338700
2022-05-17,4.030000,4.100000,3.940000,4.000000,4.000000,258400
2022-05-18,4.000000,4.020000,3.960000,4.010000,4.010000,332100
2022-05-19,3.960000,4.030000,3.830000,3.850000,3.850000,323600
2022-05-20,3.880000,3.900000,3.760000,3.810000,3.810000,170200
2022-05-23,3.850000,3.960000,3.800000,3.950000,3.950000,196200
2022-05-24,3.910000,4.030000,3.880000,3.990000,3.990000,245600
2022-05-25,4.030000,4.110000,4.000000,4.040000,4.040000,283900
2022-05-26,4.080000,4.270000,4.080000,4.170000,4.170000,187400
2022-05-27,4.230000,4.230000,4.010000,4.030000,4.030000,225300
2022-05-31,4.020000,4.070000,3.950000,4.060000,4.060000,281800
2022-06-01,4.070000,4.100000,4.000000,4.050000,4.050000,202800
2022-06-02,4.040000,4.220000,3.980000,4.180000,4.180000,222600
2022-06-03,4.140000,4.220000,4.070000,4.220000,4.220000,242200
2022-06-06,4.250000,4.510000,4.230000,4.380000,4.380000,431900
2022-06-07,4.340000,4.410000,4.280000,4.400000,4.400000,180000
2022-06-08,4.360000,4.400000,4.270000,4.360000,4.360000,156200
2022-06-09,4.330000,4.390000,4.290000,4.320000,4.320000,198800
2022-06-10,4.300000,4.320000,4.220000,4.280000,4.280000,181600
2022-06-13,4.220000,4.300000,4.100000,4.110000,4.110000,315400
2022-06-14,4.120000,4.190000,4.080000,4.130000,4.130000,194900
2022-06-15,4.150000,4.200000,4.080000,4.150000,4.150000,241600
2022-06-16,4.130000,4.130000,3.980000,4.030000,4.030000,492600
2022-06-17,4.100000,4.130000,3.970000,4.130000,4.130000,626400
2022-06-21,4.150000,4.160000,4.070000,4.150000,4.150000,413400
2022-06-22,4.110000,4.330000,4.050000,4.320000,4.320000,523000
2022-06-23,4.290000,4.300000,4.080000,4.130000,4.130000,218900
2022-06-24,4.120000,4.170000,3.870000,4.000000,4.000000,765900
2022-06-27,4.050000,4.170000,4.000000,4.030000,4.030000,229600
2022-06-28,4.030000,4.120000,3.980000,4.050000,4.050000,156500
2022-06-29,4.030000,4.030000,3.900000,3.910000,3.910000,207000
2022-06-30,3.870000,3.950000,3.720000,3.810000,3.810000,559700
2022-07-01,3.830000,3.960000,3.810000,3.930000,3.930000,242900
2022-07-05,3.900000,3.950000,3.730000,3.860000,3.860000,184600
2022-07-06,3.830000,3.880000,3.790000,3.830000,3.830000,138800
2022-07-07,3.830000,3.830000,3.760000,3.800000,3.800000,167300
2022-07-08,3.800000,4.040000,3.790000,4.040000,4.040000,611800
2022-07-11,3.980000,4.080000,3.940000,3.980000,3.980000,245300
2022-07-12,3.980000,4.020000,3.900000,3.910000,3.910000,428300
2022-07-13,3.850000,3.900000,3.670000,3.710000,3.710000,769100
2022-07-14,3.700000,3.720000,3.330000,3.370000,3.370000,1115900
2022-07-15,3.450000,3.720000,3.380000,3.690000,3.690000,1321200
2022-07-18,3.620000,3.750000,3.490000,3.510000,3.510000,346100
2022-07-19,3.540000,3.660000,3.470000,3.620000,3.620000,228300
2022-07-20,3.590000,3.650000,3.570000,3.610000,3.610000,118400
2022-07-21,3.570000,3.610000,3.550000,3.590000,3.590000,146400
2022-07-22,3.580000,3.630000,3.500000,3.540000,3.540000,125900
