Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,5.070000,5.730000,5.010000,5.510000,5.510000,6764100
2022-01-04,5.800000,6.160000,5.400000,5.660000,5.660000,7687700
2022-01-05,5.570000,5.600000,4.870000,4.940000,4.940000,8490500
2022-01-06,4.400000,4.750000,4.330000,4.480000,4.480000,7573900
2022-01-07,4.430000,4.600000,4.260000,4.280000,4.280000,4529000
2022-01-10,4.180000,4.190000,3.910000,4.140000,4.140000,6791700
2022-01-11,4.140000,4.370000,4.020000,4.260000,4.260000,5269600
2022-01-12,4.340000,4.410000,4.080000,4.150000,4.150000,4006900
2022-01-13,4.200000,4.210000,3.860000,3.870000,3.870000,3574900
2022-01-14,3.800000,3.960000,3.740000,3.860000,3.860000,4452600
2022-01-18,3.740000,3.840000,3.480000,3.480000,3.480000,5371800
2022-01-19,3.470000,3.610000,3.380000,3.450000,3.450000,5695700
2022-01-20,3.510000,3.660000,3.260000,3.270000,3.270000,6690900
2022-01-21,3.230000,3.240000,3.010000,3.080000,3.080000,9743600
2022-01-24,2.950000,3.070000,2.640000,3.050000,3.050000,10099600
2022-01-25,2.950000,3.110000,2.850000,3.000000,3.000000,4336500
2022-01-26,3.140000,3.380000,3.030000,3.060000,3.060000,8707500
2022-01-27,3.130000,3.140000,2.670000,2.730000,2.730000,10174000
2022-01-28,2.810000,2.860000,2.610000,2.820000,2.820000,7962600
2022-01-31,2.820000,3.470000,2.820000,3.410000,3.410000,16862800
2022-02-01,3.400000,3.490000,3.230000,3.470000,3.470000,8419000
2022-02-02,3.450000,3.460000,3.090000,3.170000,3.170000,6002300
2022-02-03,3.050000,3.150000,2.980000,3.020000,3.020000,4145700
2022-02-04,2.990000,3.220000,2.950000,3.140000,3.140000,4453900
2022-02-07,3.180000,3.410000,3.170000,3.260000,3.260000,4400900
2022-02-08,3.300000,3.600000,3.290000,3.510000,3.510000,6580300
2022-02-09,3.630000,3.950000,3.550000,3.880000,3.880000,6977900
2022-02-10,3.800000,4.160000,3.670000,3.890000,3.890000,7665000
2022-02-11,3.890000,3.930000,3.570000,3.600000,3.600000,5415000
2022-02-14,3.590000,3.780000,3.490000,3.530000,3.530000,3361700
2022-02-15,3.640000,4.010000,3.640000,3.980000,3.980000,4462100
2022-02-16,3.930000,3.970000,3.740000,3.910000,3.910000,3498000
2022-02-17,3.840000,3.870000,3.570000,3.630000,3.630000,2706200
2022-02-18,3.590000,3.620000,3.400000,3.470000,3.470000,3257700
2022-02-22,3.360000,3.490000,3.260000,3.310000,3.310000,3754800
2022-02-23,3.340000,3.430000,3.110000,3.120000,3.120000,3044700
2022-02-24,2.820000,3.310000,2.820000,3.310000,3.310000,6043200
2022-02-25,3.490000,3.730000,3.310000,3.640000,3.640000,4950800
2022-02-28,3.640000,4.170000,3.630000,4.010000,4.010000,7407300
2022-03-01,3.990000,4.360000,3.930000,4.320000,4.320000,7198600
2022-03-02,4.330000,4.340000,4.120000,4.230000,4.230000,3544500
2022-03-03,4.270000,4.290000,3.980000,4.040000,4.040000,3789800
2022-03-04,3.960000,4.510000,3.960000,4.370000,4.370000,6883000
2022-03-07,4.370000,4.590000,4.040000,4.160000,4.160000,5931700
2022-03-08,4.090000,4.540000,3.830000,4.380000,4.380000,6299100
2022-03-09,4.490000,4.730000,4.440000,4.600000,4.600000,5069900
2022-03-10,4.520000,4.590000,4.300000,4.560000,4.560000,3657600
2022-03-11,4.630000,4.920000,4.290000,4.300000,4.300000,3884600
2022-03-14,4.240000,4.240000,3.760000,3.770000,3.770000,3245800
2022-03-15,3.810000,3.850000,3.550000,3.850000,3.850000,4131900
2022-03-16,3.920000,4.050000,3.730000,3.970000,3.970000,4562600
2022-03-17,3.950000,4.310000,3.890000,4.270000,4.270000,4275600
2022-03-18,4.250000,4.690000,4.230000,4.600000,4.600000,4841600
2022-03-21,4.600000,4.640000,4.410000,4.480000,4.480000,3303000
2022-03-22,4.520000,4.760000,4.500000,4.730000,4.730000,2536400
2022-03-23,4.650000,4.940000,4.560000,4.570000,4.570000,3151700
