Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,228.389999,233.369995,228.070007,231.220001,228.971893,1519300
2022-01-04,232.410004,234.899994,225.460007,232.869995,230.605835,1965000
2022-01-05,231.750000,234.279999,224.259995,224.570007,222.386566,1963500
2022-01-06,225.500000,228.759995,224.110001,226.960007,224.753311,1957800
2022-01-07,228.000000,229.990005,219.880005,221.330002,219.178040,1760200
2022-01-10,220.050003,222.139999,214.699997,221.830002,219.673187,1926500
2022-01-11,222.669998,227.750000,220.759995,227.539993,225.327652,1755300
2022-01-12,229.059998,231.399994,225.860001,229.020004,226.793274,1263000
2022-01-13,231.990005,232.360001,220.600006,221.860001,219.702896,2911000
2022-01-14,218.710007,225.389999,218.070007,225.289993,223.099533,1722900
2022-01-18,220.000000,221.169998,216.740005,217.419998,215.306061,2348200
2022-01-19,217.940002,220.449997,210.779999,210.949997,208.898972,1888300
2022-01-20,208.000000,211.770004,199.410004,199.610001,197.669235,2885000
2022-01-21,197.330002,207.729996,196.800003,199.949997,198.005920,3812000
2022-01-24,195.830002,203.470001,188.070007,203.070007,201.095596,3738900
2022-01-25,197.199997,199.880005,193.389999,194.770004,192.876297,3855600
2022-01-26,200.449997,205.250000,193.539993,196.960007,195.044998,3470600
2022-01-27,200.869995,201.020004,186.389999,187.960007,186.132507,3786000
2022-01-28,186.479996,189.529999,180.119995,189.449997,187.608017,4949100
2022-01-31,190.389999,205.899994,190.000000,205.440002,203.442551,5679900
2022-02-01,208.990005,210.990005,200.009995,208.199997,206.175705,4066200
2022-02-02,209.630005,211.830002,205.679993,210.350006,208.304810,2863900
2022-02-03,206.720001,208.800003,197.800003,198.339996,196.411560,4263600
2022-02-04,196.970001,200.110001,190.789993,198.119995,196.193710,3205400
2022-02-07,198.399994,201.910004,196.059998,196.919998,195.005386,2169500
2022-02-08,197.289993,203.320007,196.089996,202.529999,200.560837,2306000
2022-02-09,205.490005,210.000000,200.500000,209.759995,207.720535,3113000
2022-02-10,204.360001,209.619995,198.130005,199.050003,197.114670,2466800
2022-02-11,200.009995,200.970001,185.179993,186.740005,184.924362,3738600
2022-02-14,187.839996,191.669998,183.970001,185.880005,184.072723,2039900
2022-02-15,190.500000,196.899994,189.210007,196.619995,194.708298,2809900
2022-02-16,195.449997,200.639999,193.000000,199.660004,197.718750,1969400
2022-02-17,196.399994,197.449997,187.389999,187.610001,185.785904,2762900
2022-02-18,188.770004,190.139999,185.190002,187.089996,185.270966,2691700
2022-02-22,185.179993,191.610001,183.910004,187.240005,185.419510,2361700
2022-02-23,190.479996,194.600006,185.029999,185.149994,183.349808,2612200
2022-02-24,179.119995,191.729996,178.309998,191.419998,189.558868,3208600
2022-02-25,190.490005,194.320007,185.580002,194.199997,192.311813,2058600
2022-02-28,191.429993,192.729996,186.729996,190.119995,188.271500,2741100
2022-03-01,189.610001,189.990005,179.229996,181.179993,179.418411,2997800
2022-03-02,183.020004,190.470001,182.630005,188.350006,186.518723,3191800
2022-03-03,189.419998,189.919998,184.050003,184.699997,182.904190,2591600
2022-03-04,182.479996,183.229996,174.160004,176.449997,174.734406,3190700
2022-03-07,177.789993,179.100006,169.550003,169.720001,168.069855,2992500
2022-03-08,170.619995,185.440002,168.740005,176.899994,175.180023,4006600
2022-03-09,183.000000,186.270004,182.199997,183.350006,181.567322,3108900
2022-03-10,179.240005,181.320007,175.820007,180.500000,178.745026,1899200
2022-03-11,183.979996,185.270004,178.160004,178.559998,176.823883,2176900
