Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,4.570000,4.900000,4.460000,4.720000,4.720000,10774500
2022-01-04,4.640000,4.670000,4.350000,4.470000,4.470000,10146500
2022-01-05,4.384000,4.453000,4.160000,4.180000,4.180000,10204400
2022-01-06,4.180000,4.330000,3.905000,4.130000,4.130000,8945400
2022-01-07,4.060000,4.230000,4.020000,4.060000,4.060000,7709900
2022-01-10,4.250000,4.360000,3.880000,4.320000,4.320000,16920700
2022-01-11,4.140000,4.375000,4.100000,4.160000,4.160000,9366000
2022-01-12,4.600000,4.640000,4.150000,4.170000,4.170000,23328900
2022-01-13,4.170000,4.320000,4.010000,4.020000,4.020000,11048500
2022-01-14,3.975000,4.260000,3.910000,4.250000,4.250000,11895500
2022-01-18,4.074000,4.250000,4.000000,4.000000,4.000000,10113000
2022-01-19,4.040000,4.120000,3.730000,3.730000,3.730000,15333300
2022-01-20,3.691000,3.840000,3.545000,3.560000,3.560000,12872800
2022-01-21,3.450000,3.460000,3.180000,3.280000,3.280000,16583700
2022-01-24,3.150000,3.340000,2.870000,3.320000,3.320000,15662000
2022-01-25,3.220000,3.440000,3.161000,3.380000,3.380000,6340900
2022-01-26,3.450000,3.510000,3.120000,3.150000,3.150000,9652100
2022-01-27,3.330000,3.355000,2.930000,2.950000,2.950000,10616600
2022-01-28,2.970000,3.130000,2.870000,3.120000,3.120000,9729100
2022-01-31,3.220000,3.670000,3.190000,3.550000,3.550000,16130900
2022-02-01,3.550000,3.940000,3.480000,3.870000,3.870000,15560600
2022-02-02,3.920000,3.955000,3.541000,3.630000,3.630000,9255700
2022-02-03,3.518000,3.720000,3.430000,3.480000,3.480000,5519200
2022-02-04,3.510000,3.650000,3.477000,3.590000,3.590000,6215500
2022-02-07,3.570000,3.770000,3.520000,3.570000,3.570000,5653400
2022-02-08,3.570000,3.610000,3.420000,3.510000,3.510000,3662500
2022-02-09,3.520000,3.986000,3.512000,3.980000,3.980000,12418500
2022-02-10,3.789000,4.160000,3.760000,3.870000,3.870000,10482300
2022-02-11,3.880000,4.100000,3.750000,3.800000,3.800000,6325400
2022-02-14,3.800000,3.880000,3.630000,3.640000,3.640000,5089300
2022-02-15,3.755000,3.900000,3.720000,3.900000,3.900000,6211900
2022-02-16,3.890000,3.890000,3.720000,3.820000,3.820000,4090800
2022-02-17,3.730000,3.808000,3.470000,3.500000,3.500000,6179800
2022-02-18,3.560000,3.600000,3.391000,3.460000,3.460000,12924400
2022-02-22,3.850000,4.530000,3.720000,4.230000,4.230000,69548800
2022-02-23,3.430000,3.480000,3.120000,3.130000,3.130000,29151000
2022-02-24,2.970000,3.130000,2.890000,3.055000,3.055000,21963600
2022-02-25,3.180000,3.260000,2.930000,3.220000,3.220000,14283100
2022-02-28,3.140000,3.565000,3.110000,3.520000,3.520000,15121800
2022-03-01,3.460000,3.690000,3.430000,3.570000,3.570000,7452300
2022-03-02,3.600000,3.610000,3.350000,3.510000,3.510000,6979500
2022-03-03,3.490000,3.500000,3.270000,3.290000,3.290000,5184700
2022-03-04,2.410000,2.860000,2.370000,2.530000,2.530000,33982400
2022-03-07,2.350000,2.540000,2.350000,2.500000,2.500000,11826700
2022-03-08,2.350000,2.510000,2.160000,2.440000,2.440000,19148500
2022-03-09,2.470000,2.690000,2.450000,2.650000,2.650000,12373300
2022-03-10,2.570000,2.660000,2.480000,2.650000,2.650000,5880900
2022-03-11,2.620000,2.670000,2.410000,2.450000,2.450000,6832100
2022-03-14,2.420000,2.600000,2.285000,2.340000,2.340000,9642200
2022-03-15,2.360000,2.800000,2.360000,2.710000,2.710000,13785700
2022-03-16,2.710000,2.890000,2.600000,2.870000,2.870000,12773000
2022-03-17,2.850000,3.290000,2.810000,3.290000,3.290000,12096700
2022-03-18,3.200000,3.740000,3.200000,3.720000,3.720000,43872600
2022-03-21,3.692000,4.030000,3.600000,3.720000,3.720000,16918400
2022-03-22,3.750000,3.900000,3.680000,3.840000,3.840000,10907100
2022-03-23,3.750000,3.980000,3.650000,3.670000,3.670000,9655400
2022-03-24,3.710000,3.760000,3.510000,3.740000,3.740000,8371000
2022-03-25,3.650000,3.710000,3.470000,3.480000,3.480000,6935200
2022-03-28,3.330000,3.540000,3.215000,3.350000,3.350000,9556400
2022-03-29,3.340000,3.720000,3.340000,3.580000,3.580000,9589500
2022-03-30,3.560000,3.700000,3.360000,3.370000,3.370000,7817100
2022-03-31,3.440000,3.440000,3.290000,3.300000,3.300000,4081200
2022-04-01,3.320000,3.469000,3.120000,3.300000,3.300000,10677000
2022-04-04,3.090000,3.480000,3.060000,3.450000,3.450000,8901200
2022-04-05,3.340000,3.450000,3.250000,3.260000,3.260000,6304400
2022-04-06,3.250000,3.253000,3.070000,3.190000,3.190000,5951000
2022-04-07,3.200000,3.200000,2.970000,3.050000,3.050000,4635800
2022-04-08,3.020000,3.150000,2.930000,2.960000,2.960000,4831900
2022-04-11,2.910000,3.040000,2.869000,2.900000,2.900000,5485900
2022-04-12,2.690000,2.890000,2.660000,2.790000,2.790000,10288600
2022-04-13,2.770000,3.020000,2.770000,2.970000,2.970000,7369000
2022-04-14,3.020000,3.020000,2.745000,2.760000,2.760000,5752700
2022-04-18,2.900000,2.920000,2.600000,2.600000,2.600000,12667600
2022-04-19,2.610000,2.775000,2.589000,2.710000,2.710000,6531800
2022-04-20,2.720000,2.770000,2.630000,2.700000,2.700000,4920700
2022-04-21,2.720000,2.730000,2.430000,2.460000,2.460000,7414000
2022-04-22,2.460000,2.500000,2.360000,2.400000,2.400000,5266800
2022-04-25,2.370000,2.520000,2.360000,2.480000,2.480000,6027800
2022-04-26,2.450000,2.520000,2.260000,2.270000,2.270000,8950000
2022-04-27,2.300000,2.417000,2.220000,2.220000,2.220000,5145000
2022-04-28,2.340000,2.375000,2.101000,2.300000,2.300000,7017200
2022-04-29,2.250000,2.410000,2.190000,2.190000,2.190000,5202500
2022-05-02,2.190000,2.349000,2.120000,2.340000,2.340000,7299100
2022-05-03,2.300000,2.440000,2.300000,2.400000,2.400000,4816800
2022-05-04,2.410000,2.510000,2.250000,2.500000,2.500000,6965200
2022-05-05,2.400000,2.430000,2.240000,2.280000,2.280000,7716900
