Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,9.920000,9.960000,9.900000,9.950000,9.950000,391000
2022-01-04,9.950000,9.995000,9.900000,9.962000,9.962000,281300
2022-01-05,10.000000,10.000000,9.950000,9.965000,9.965000,242600
2022-01-06,9.970000,9.970000,9.940000,9.960000,9.960000,69800
2022-01-07,9.970000,9.970000,9.900000,9.970000,9.970000,14300
2022-01-10,9.970000,9.970000,9.900000,9.920000,9.920000,143800
2022-01-11,9.900000,9.960000,9.900000,9.930000,9.930000,988200
2022-01-12,9.930000,9.970000,9.930000,9.960000,9.960000,384400
2022-01-13,9.960000,9.960000,9.940000,9.960000,9.960000,36300
2022-01-14,9.900000,9.960000,9.900000,9.960000,9.960000,218900
2022-01-18,9.970000,9.970000,9.860000,9.870000,9.870000,564700
2022-01-19,9.880000,9.905000,9.880000,9.880000,9.880000,101200
2022-01-20,9.880000,9.930000,9.850000,9.880000,9.880000,185900
2022-01-21,9.870000,9.880000,9.680000,9.840000,9.840000,136800
2022-01-24,9.850000,9.900000,9.820000,9.890000,9.890000,56800
2022-01-25,9.900000,9.910000,9.830000,9.870000,9.870000,20100
2022-01-26,9.870000,9.930000,9.830000,9.860000,9.860000,45300
2022-01-27,9.820000,9.890000,9.820000,9.870000,9.870000,303900
2022-01-28,9.870000,9.900000,9.830000,9.850000,9.850000,219300
2022-01-31,9.840000,9.900000,9.830000,9.900000,9.900000,24400
2022-02-01,9.900000,9.950000,9.880000,9.940000,9.940000,63900
2022-02-02,9.950000,9.970000,9.941000,9.950000,9.950000,26200
2022-02-03,9.930000,9.970000,9.930000,9.950000,9.950000,16700
2022-02-04,9.950000,9.950000,9.900000,9.920000,9.920000,49200
2022-02-07,9.890000,9.929000,9.880000,9.890000,9.890000,149300
2022-02-08,9.890000,9.900000,9.890000,9.890000,9.890000,96600
2022-02-09,9.895000,9.900000,9.890000,9.890000,9.890000,10400
2022-02-10,9.890000,9.900000,9.890000,9.890000,9.890000,52000
2022-02-11,9.900000,9.900000,9.880000,9.880000,9.880000,13800
2022-02-14,9.890000,9.940000,9.890000,9.930000,9.930000,133700
2022-02-15,9.930000,9.950000,9.920000,9.940000,9.940000,83000
2022-02-16,9.930000,9.960000,9.930000,9.940000,9.940000,76600
2022-02-17,9.950000,9.960000,9.940000,9.960000,9.960000,173000
2022-02-18,9.950000,9.950000,9.860000,9.910000,9.910000,164700
2022-02-22,9.910000,9.935000,9.890000,9.890000,9.890000,34900
2022-02-23,9.900000,9.940000,9.890000,9.900000,9.900000,34700
2022-02-24,9.890000,9.950000,9.890000,9.900000,9.900000,60100
2022-02-25,9.890000,9.925000,9.890000,9.920000,9.920000,14900
2022-02-28,9.890000,9.920000,9.890000,9.900000,9.900000,92000
2022-03-01,9.920000,9.943000,9.890000,9.890000,9.890000,7500
2022-03-02,9.890000,9.940000,9.890000,9.910000,9.910000,24400
2022-03-03,9.900000,9.936000,9.900000,9.900000,9.900000,90400
2022-03-04,9.920000,9.921000,9.890000,9.900000,9.900000,86700
2022-03-07,9.890000,9.940000,9.890000,9.910000,9.910000,15900
2022-03-08,9.870000,9.912000,9.870000,9.895000,9.895000,26900
2022-03-09,9.900000,9.920000,9.870000,9.870000,9.870000,455600
2022-03-10,9.880000,9.880000,9.860000,9.860000,9.860000,335200
2022-03-11,9.940000,9.940000,9.870000,9.870000,9.870000,5500
2022-03-14,9.870000,9.940000,9.865000,9.875000,9.875000,223400
2022-03-15,9.860000,9.900000,9.860000,9.870000,9.870000,12800
2022-03-16,9.895000,9.920000,9.870000,9.880000,9.880000,13600
2022-03-17,9.860000,9.887000,9.860000,9.880000,9.880000,4900
2022-03-18,9.880000,9.905000,9.870000,9.880000,9.880000,45700
2022-03-21,9.860000,9.912000,9.850000,9.870000,9.870000,1331800
2022-03-22,9.860000,9.870000,9.850000,9.850000,9.850000,25200
2022-03-23,9.870000,9.870000,9.850000,9.860000,9.860000,202300
2022-03-24,9.890000,9.890000,9.860000,9.880000,9.880000,13300
2022-03-25,9.875000,9.875000,9.850000,9.850000,9.850000,34600
2022-03-28,9.870000,9.870000,9.855000,9.856000,9.856000,56600
2022-03-29,9.850000,9.870000,9.850000,9.867000,9.867000,11000
2022-03-30,9.890000,9.890000,9.860000,9.887000,9.887000,5300
2022-03-31,9.850000,9.890000,9.850000,9.890000,9.890000,112900
2022-04-01,9.890000,9.890000,9.860000,9.860000,9.860000,4300
2022-04-04,9.860000,9.890000,9.860000,9.890000,9.890000,8700
2022-04-05,9.882000,9.885000,9.880000,9.881000,9.881000,1900
2022-04-06,9.870000,9.890000,9.870000,9.890000,9.890000,2600
2022-04-07,9.890000,9.900000,9.880000,9.886000,9.886000,4700
2022-04-08,9.920000,9.920000,9.880000,9.893000,9.893000,17000
2022-04-11,9.920000,9.920000,9.870000,9.890000,9.890000,2600
2022-04-12,9.870000,9.920000,9.870000,9.880000,9.880000,244600
2022-04-13,9.860000,9.900000,9.860000,9.890000,9.890000,10600
2022-04-14,9.900000,9.910000,9.880000,9.910000,9.910000,10300
2022-04-18,9.890000,9.900000,9.880000,9.900000,9.900000,19200
2022-04-19,9.890000,9.910000,9.883000,9.900000,9.900000,29200
2022-04-20,9.900000,9.910000,9.880000,9.900000,9.900000,15500
2022-04-21,9.870000,9.910000,9.870000,9.884000,9.884000,12500
2022-04-22,9.870000,9.890000,9.870000,9.870000,9.870000,18600
2022-04-25,9.890000,9.890000,9.870000,9.880000,9.880000,69400
2022-04-26,9.890000,9.910000,9.870000,9.910000,9.910000,43200
2022-04-27,9.870000,9.910000,9.860000,9.910000,9.910000,36400
2022-04-28,9.871000,9.880000,9.870000,9.870000,9.870000,9600
2022-04-29,9.860000,9.870000,9.860000,9.870000,9.870000,24500
2022-05-02,9.860000,9.880000,9.860000,9.870000,9.870000,8000
2022-05-03,9.870000,9.875000,9.870000,9.870000,9.870000,2500
2022-05-04,9.860000,9.870000,9.830000,9.870000,9.870000,464900
2022-05-05,9.850000,9.870000,9.840000,9.870000,9.870000,64300
2022-05-06,9.850000,9.865000,9.850000,9.865000,9.865000,2400
2022-05-09,9.860000,9.870000,9.820000,9.840000,9.840000,522500
2022-05-10,9.840000,9.920000,9.840000,9.920000,9.920000,440300
2022-05-11,9.900000,9.930000,9.850000,9.860000,9.860000,568100
2022-05-12,9.840000,9.880000,9.840000,9.840000,9.840000,79600
2022-05-13,9.850000,9.860000,9.850000,9.855000,9.855000,84900
2022-05-16,9.850000,9.890000,9.850000,9.860000,9.860000,800
2022-05-17,9.890000,9.890000,9.860000,9.870000,9.870000,39700
2022-05-18,9.889000,9.890000,9.860000,9.870000,9.870000,20700
2022-05-19,9.880000,9.880000,9.860000,9.880000,9.880000,1616700
2022-05-20,9.890000,9.890000,9.870000,9.870000,9.870000,7500
2022-05-23,9.890000,9.930000,9.890000,9.930000,9.930000,748800
2022-05-24,9.940000,9.950000,9.930000,9.930000,9.930000,1709200
2022-05-25,9.935000,9.950000,9.930000,9.940000,9.940000,116800
2022-05-26,9.950000,9.960000,9.940000,9.940000,9.940000,108400
2022-05-27,9.950000,9.960000,9.940000,9.940000,9.940000,961600
2022-05-31,9.960000,9.960000,9.940000,9.960000,9.960000,218600
2022-06-01,9.950000,9.960000,9.940000,9.960000,9.960000,479600
2022-06-02,9.960000,9.970000,9.940000,9.970000,9.970000,209100
2022-06-03,9.960000,9.970000,9.960000,9.970000,9.970000,61100
2022-06-06,9.960000,9.965000,9.950000,9.950000,9.950000,200900
2022-06-07,9.960000,9.970000,9.960000,9.970000,9.970000,117600
2022-06-08,9.960000,9.970000,9.960000,9.960000,9.960000,193400
2022-06-09,9.960000,9.970000,9.960000,9.970000,9.970000,198300
2022-06-10,9.970000,9.970000,9.960000,9.960000,9.960000,461400
2022-06-13,9.960000,9.960000,9.935000,9.940000,9.940000,716900
2022-06-14,9.285000,9.870000,8.900000,9.690000,9.690000,125500
2022-06-15,9.400000,10.010000,9.160000,9.600000,9.600000,702500
2022-06-16,9.500000,9.650000,4.850000,5.500000,5.500000,1289700
2022-06-17,5.300000,5.820000,4.490000,5.630000,5.630000,1001100
2022-06-21,5.660000,6.230000,5.370000,5.570000,5.570000,796700
2022-06-22,5.480000,6.040000,5.370000,5.910000,5.910000,376400
2022-06-23,7.000000,7.000000,5.090000,6.080000,6.080000,222400
2022-06-24,5.410000,6.370000,5.190000,5.910000,5.910000,197200
2022-06-27,5.990000,5.990000,4.770000,5.770000,5.770000,298400
2022-06-28,5.690000,5.690000,5.010000,5.320000,5.320000,247700
2022-06-29,5.370000,5.370000,4.011000,4.310000,4.310000,325600
2022-06-30,4.190000,4.610000,3.670000,4.180000,4.180000,229100
2022-07-01,4.430000,4.550000,4.010000,4.030000,4.030000,184000
2022-07-05,4.090000,4.370000,3.800000,3.970000,3.970000,98700
2022-07-06,4.050000,4.120000,3.520000,3.670000,3.670000,82400
2022-07-07,3.680000,3.802000,3.340000,3.604000,3.604000,177500
2022-07-08,3.320000,3.620000,3.300000,3.430000,3.430000,155800
2022-07-11,3.460000,3.490000,3.300000,3.390000,3.390000,51300
2022-07-12,3.330000,3.480000,3.150000,3.310000,3.310000,66700
2022-07-13,3.170000,3.340000,3.010000,3.130000,3.130000,57000
2022-07-14,3.040000,3.090000,2.710000,2.830000,2.830000,126500
2022-07-15,2.762000,2.819000,2.703000,2.760000,2.760000,52400
2022-07-18,2.760000,3.000000,2.470000,2.530000,2.530000,210700
2022-07-19,2.420000,2.870000,2.420000,2.700000,2.700000,193700
2022-07-20,2.750000,8.150000,2.750000,6.200000,6.200000,38356500
