Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,3.560000,3.840000,3.520000,3.700000,3.700000,10720300
2022-01-04,3.850000,3.850000,3.630000,3.810000,3.810000,8161500
2022-01-05,4.020000,4.290000,3.800000,3.860000,3.860000,19144300
2022-01-06,4.170000,4.260000,3.580000,3.680000,3.680000,12801500
2022-01-07,3.630000,3.940000,3.500000,3.880000,3.880000,8571200
2022-01-10,3.810000,3.830000,3.620000,3.760000,3.760000,7608000
2022-01-11,3.740000,3.800000,3.530000,3.720000,3.720000,7962400
2022-01-12,3.730000,3.950000,3.590000,3.610000,3.610000,9177000
2022-01-13,3.610000,3.640000,3.280000,3.280000,3.280000,9615000
2022-01-14,3.260000,3.390000,3.170000,3.320000,3.320000,7820600
2022-01-18,3.300000,3.330000,3.130000,3.160000,3.160000,6957600
2022-01-19,3.180000,3.300000,3.100000,3.140000,3.140000,7510600
2022-01-20,3.150000,3.230000,2.920000,2.950000,2.950000,10690000
2022-01-21,2.900000,2.960000,2.690000,2.730000,2.730000,15400800
2022-01-24,2.520000,2.810000,2.410000,2.810000,2.810000,17816900
2022-01-25,2.750000,2.830000,2.590000,2.810000,2.810000,9526900
2022-01-26,2.850000,2.930000,2.600000,2.650000,2.650000,12049600
2022-01-27,2.710000,2.750000,2.380000,2.420000,2.420000,15375700
2022-01-28,2.430000,2.490000,2.340000,2.490000,2.490000,9059400
2022-01-31,2.510000,2.630000,2.460000,2.610000,2.610000,7594700
2022-02-01,2.640000,2.830000,2.540000,2.760000,2.760000,8437400
2022-02-02,2.860000,2.880000,2.610000,2.690000,2.690000,8451000
2022-02-03,2.600000,2.660000,2.530000,2.550000,2.550000,6758700
2022-02-04,2.550000,2.720000,2.520000,2.700000,2.700000,11002400
2022-02-07,2.750000,2.880000,2.730000,2.770000,2.770000,6795000
2022-02-08,2.780000,2.960000,2.720000,2.930000,2.930000,7060000
2022-02-09,2.980000,3.220000,2.970000,3.220000,3.220000,13701600
2022-02-10,3.110000,3.330000,3.040000,3.090000,3.090000,10173600
2022-02-11,2.980000,3.160000,2.930000,3.020000,3.020000,8560900
2022-02-14,2.970000,3.130000,2.930000,3.040000,3.040000,7039300
2022-02-15,3.100000,3.290000,3.050000,3.260000,3.260000,8297100
2022-02-16,3.270000,3.330000,3.170000,3.230000,3.230000,5839000
2022-02-17,3.250000,3.250000,2.960000,3.010000,3.010000,6056500
2022-02-18,2.980000,3.030000,2.840000,2.880000,2.880000,6652100
2022-02-22,2.830000,3.050000,2.810000,3.010000,3.010000,7458900
2022-02-23,3.080000,3.210000,2.950000,2.970000,2.970000,8627100
2022-02-24,2.750000,3.380000,2.740000,3.380000,3.380000,16557000
2022-02-25,3.490000,3.500000,3.220000,3.470000,3.470000,10856900
